ID_REF,201354_s_at,201363_s_at,201882_x_at,202414_at,202608_s_at,202867_s_at,204014_at,204493_at,205404_at,205695_at,205699_at,205984_at,206102_at,206488_s_at,206721_at,207172_s_at,207180_s_at,207571_x_at,207656_s_at,208538_at,208893_s_at,208894_at,209035_at,209542_x_at,209688_s_at,209698_at,209821_at,210127_at,210639_s_at,211582_x_at,211966_at,212589_at,212769_at,213098_at,213523_at,214441_at,214686_at,214785_at,214826_at,215516_at,215653_at,215943_at,215977_x_at,216334_s_at,216375_s_at,216457_s_at,216498_at,216905_s_at,217617_at,217981_s_at,218186_at,219231_at,219260_s_at,219377_at,220082_at,220323_at,220335_x_at,220691_at,220766_at,220876_at,221249_s_at,221380_at,221581_s_at,221780_s_at,47105_at,47530_at,AFFX-ThrX-5_at,Group
GSM317385,1.0923567,2.5700636,0.4012739,2.6433122,0.07324841,1.6560509,0.38853502,1.3025478,0.9458599,1.0127388,0.37261146,1.2515924,0.5509554,0.50318474,1.289809,0.96496814,1.4267516,0.53503186,0.06687898,0.12101911,1.5031848,0.589172,0.90127385,0.14649682,2.1401274,0.82802546,0.2356688,1.5541401,1.0191083,0.34394905,0.67834395,1.5605096,0.4713376,0.5573248,0.4968153,0.21974523,2.1114652,1.3535032,0.6210191,0.3280255,0.53503186,0.31210193,0.5700637,0.050955415,1.8821656,2.9140127,0.31210193,0.3152866,1.1050956,2.0509555,0.098726116,1.2929935,2.0286624,1.6910828,1.1273886,0.45541403,1.0828025,0.36942676,0.37261146,0.035031848,1.1974522,0.22292994,0.72292995,0.933121,0.9076433,1.0732485,0.21656051,bipolar
GSM317386,2.043178,2.2521589,0.17271158,2.4542315,0.112262525,2.0241797,0.8963731,1.6787565,1.1450778,0.58721936,0.33678758,2.0034542,1.0397236,0.037996545,1.0500864,1.4870466,1.4680483,0.44559586,0.21243525,0.07772021,1.775475,0.77202076,0.4507772,1.8566494,2.0414507,0.7253886,0.39205527,2.2469776,2.2037997,0.08290156,0.746114,1.4749569,0.17789292,0.7081174,1.1364422,0.78411055,1.6027634,2.2797928,0.31606215,0.3074266,0.20207253,0.034542315,0.9689119,0.022452503,2.7374785,2.4853194,0.110535406,0.21243525,1.1260794,1.986183,0.33678758,1.3678756,2.8445597,2.0949914,1.3022453,1.2642486,1.5319515,1.4473231,0.27979276,0.08117443,1.6632125,0.06908463,0.164076,1.476684,0.54404145,1.0604491,0.20725389,bipolar
GSM317388,3.2351649,2.4263737,0.41318682,1.9120879,0.52087915,2.167033,0.36483517,1.7186813,1.3582418,1.301099,0.45934066,0.7824176,0.978022,0.2769231,1.567033,1.7318683,1.1516484,0.84175825,0.052747257,0.06373627,2.356044,0.2923077,0.42197806,0.52087915,1.923077,0.53626376,0.7032967,1.2043957,1.0483516,0.13626373,0.745055,1.1274725,0.30989012,0.5912088,1.0153847,0.3802198,2.3736265,1.7758243,0.4087912,0.14065935,0.3802198,0.21758242,0.7032967,0.03736264,1.5186813,2.591209,0.14285715,0.23516484,0.8219781,1.3912088,0.26373628,1.1252748,1.49011,2.3032968,0.8813187,0.73626375,1.8395604,0.7978022,0.18241759,0.026373629,1.7164835,0.046153843,0.2769231,0.83736265,0.8857143,1.3428571,0.114285715,bipolar
GSM317389,1.3716216,2.5495493,0.3581081,1.4999999,0.12162162,1.376126,0.4617117,1.4752252,1.2162162,0.9279279,0.35135135,1.599099,0.8851351,0.074324325,1.5585585,1.259009,2.2432432,0.98198193,0.09009009,0.04954955,1.4549549,0.9572072,0.8265766,0.87387383,2.0608108,0.5427928,0.5540541,1.581081,1.9932432,0.06531531,0.536036,1.2094594,0.2972973,1.045045,0.7477478,0.6509009,1.8671172,1.4459459,0.5923423,0.24099098,0.26576576,0.29054052,1.0135134,0.018018018,2.7815316,2.8851352,0.09684685,0.1036036,0.5608108,2.7117116,0.067567565,1.2882882,2.1846848,3.2927926,1.0067568,0.89639634,1.3603604,0.6981982,0.0990991,0.038288288,1.7927927,0.056306306,0.15765765,1.5067568,0.7072072,1.1216216,0.09684685,bipolar
GSM317391,1.8397436,2.8371797,0.1653846,1.6807693,0.13461539,1.801282,1.0205128,1.6038462,1.4205129,0.9,0.2551282,1.7025641,1.075641,0.11794872,1.1679487,1.3269231,1.821795,1.0461538,0.16794872,0.21923077,1.9910257,1.5256411,0.46153846,1.3153846,2.325641,0.83717954,0.57051283,1.024359,2.048718,0.16666667,0.73333335,1.1243589,0.33589745,0.6769231,1.0269231,0.94871795,2.6166668,1.9384615,0.45128205,0.057692308,0.28333333,0.07564103,0.7935898,0.13974358,2.3846154,2.5435896,0.02948718,0.15384616,0.9525642,2.2128205,0.2153846,1.1397436,2.5782053,2.5166667,0.6717949,0.48846152,1.0897436,0.92435896,0.2846154,0.028205128,1.4551282,0.12179487,0.48589745,1.2115384,0.67564106,1.1871794,0.020512821,bipolar
GSM317396,2.2692308,2.0811968,0.15384616,2.8931623,0.055555556,1.0470086,0.0982906,1.1111112,1.6111112,2.2564104,0.25641027,0.21367522,0.6965812,0.055555556,1.2008548,1.0897436,1.965812,0.49572653,0.3846154,0.32478634,0.20940171,0.17521368,1.2264957,0.05982906,1.8504274,1.0854701,0.84615386,1.2307693,0.70512825,0.17094018,1.017094,1.2393162,0.6367521,0.4529915,1.2393162,0.24786326,1.7264959,1.8589745,0.6837607,0.15811966,0.52136755,0.50427353,0.55128205,0.0982906,1.7863249,2.3504274,0.482906,0.52136755,1.931624,1.6794872,0.5,1.7735044,1.2564102,1.8376069,0.508547,1.4358975,2.1452992,0.7478633,0.47863248,0.034188036,2,0.31196582,0.25213677,1.0256411,0.99572647,1.0128206,0.1837607,bipolar
GSM317397,2.2347188,2.5647922,0.06356968,1.396088,0.05378973,1.5256724,0.44498777,2.5256724,2.1931539,7.7261615,0.20537896,0.9388753,0.34474328,0.034229826,1.0513448,1.6454768,2.2860634,1.0391198,0.24938874,0.041564792,1.6943766,0.74816626,0.5794621,0.53056234,1.8899755,0.78728604,0.53056234,0.87286067,1.5770171,0.12958436,0.9022005,1.1320293,0.30317846,0.4816626,0.9535452,1.0880195,2.782396,1.4792175,0.24449877,0.15158923,0.20537896,0.40097797,0.9388753,0.009779952,1.589242,2.4327629,0.075794615,0.07823961,0.75061125,1.806846,0.42298287,1.8973105,1.376528,3.3154035,1.0195599,0.85330075,1.5183374,0.39608803,0.017114913,0.024449877,2.0831294,0.09535453,0.45721272,2.1075795,0.55256724,0.7237164,0.11491442,bipolar
GSM317399,1.9247706,2.517431,0.06972477,2.411009,0.21651375,2.1651375,1.157798,1.8220184,1.2844036,1.4587156,0.22568807,2.1522934,0.97798157,0.036697246,1.2110091,1.3045871,1.9155962,0.7889908,0.06238532,0.023853209,1.8825687,1.0752293,0.30458716,0.029357797,1.5009174,0.6330275,0.8183486,1.2348624,1.5944954,0.88623846,0.4770642,1.5247705,0.2880734,0.7302752,1.025688,0.9284403,2.6348624,2.3009174,0.36697245,0.14128439,0.4330275,0.047706418,0.77064216,0.016513761,2.7669723,2.7229354,0.033027522,0.044036698,0.5688073,2.7302752,0.3302752,1.6605504,2.3339448,2.546789,0.7743119,0.640367,0.99999994,0.9541284,0.078899086,0.011009174,1.4880733,0.078899086,0.19999999,1.3174312,0.64403665,0.9706422,0.049541283,bipolar
GSM317401,1.8852713,2.4744186,0.27751938,2.3472867,0.24806201,2.448062,0.53643405,2.587597,1.5457364,1.2434108,0.29147285,1.1333333,0.83875966,0.007751938,1.5736434,1.1038759,1.5162791,1.0604651,0.024806201,0.027906977,1.3674418,0.7209302,0.53023255,0.62015504,1.8356589,0.751938,0.32093024,1.275969,2.420155,0.14263566,0.77984494,1.3937985,0.24341086,0.5271318,1.0294573,0.54573643,3.308527,1.6511627,0.45736435,0.018604651,0.21860465,0.351938,0.6108527,0.09767442,1.620155,2.8387597,0.05736434,0.031007752,1.0139536,2.6759691,0.15503876,1.2697674,1.8930233,2.7891471,0.27596897,0.91782945,1.751938,0.44341084,0.23255813,0.03255814,1.5875969,0.17674418,0.48372093,1.1410853,0.56589144,1.1193798,0.037209302,bipolar
GSM317403,3.690934,2.767857,0.0576923,2.5384614,0.22527471,0.907967,0.146978,1.0796702,1.2417582,0.85439557,0.5892857,1.2815933,1.4780219,0.3186813,1.7554945,1.1318681,0.7843406,1.9271977,0.22390108,0.24313186,0.06730769,0.760989,0.40521976,0.19230768,2.2335165,0.73901093,0.15521978,1.043956,1.723901,0.060439557,0.67307687,1.3392856,0.260989,1.1126373,2.0590658,1.0425824,2.6675823,2.1071427,0.1098901,0.20329669,0.39972526,0.3502747,0.82554936,0.02197802,1.1991758,1.811813,0.10851648,0.1153846,0.56730765,2.0590658,0.26785713,2.1991758,1.2596153,2.656593,1.0810438,0.60851645,1.35989,0.962912,0.25961536,0.023351647,2.7870877,0.04807692,0.55219775,1.206044,0.6456044,0.60164833,0.034340657,bipolar
GSM317404,1.9188405,2.1768117,0.057971016,2.310145,0.09275363,1.0724638,0.27246377,1.1739131,0.86956525,0.73333335,0.5217391,1.226087,1.6927537,0.36231884,1.826087,1.1246377,0.6144928,0.8666667,0.62028986,0.04057971,0.08405797,0.4289855,0.5565218,0.69855076,2.2695653,1.4927536,0.17391305,0.95942026,1.9449276,0.08695652,0.9652174,1.1913043,0.43188405,1.168116,1.5913044,0.51594204,3.1275363,1.8057971,0.089855075,0.017391305,0.44927537,0.19710146,0.8521739,0.055072464,1.2376812,2.110145,0.1884058,0.31594202,0.742029,2.4173913,0.5536232,2.3217392,1.8202899,2.42029,1.4434782,0.81739134,1.0318841,0.73913044,0.42028987,0.055072464,2.5913045,0.089855075,0.32173914,1.1739131,0.8898551,0.62318844,0.055072464,bipolar
GSM317406,2.1085973,1.7036201,0.3529412,2.178733,0.08371041,1.20362,0.80995476,1.1764706,1.076923,1.4411765,0.3529412,0.7307692,0.85067874,0.4321267,1.4049773,1.5203619,1.1877829,0.51357466,0.35067874,0.43438917,0.19004524,0.65384614,1.0746607,0.28054297,1.540724,0.46832582,0.47058824,1.1923077,1.0542986,0.24660634,0.7850679,1.3959277,0.60181,0.9117647,1.7126696,0.15837105,2.5633485,1.6606336,0.22624435,0.24660634,0.40950227,0.27149323,0.9343892,0.036199097,2.10181,1.6877828,0.28959277,0.5972851,1.2058823,1.321267,0.32126698,1.0837104,0.87104076,1.861991,1.7760181,0.5565611,1.7126696,0.83484167,0.1719457,0.042986427,2.1176472,0.7126697,0.71945703,1.4298643,0.9592761,0.69004524,0.04751131,bipolar
GSM317411,3.3581393,1.7255813,0.40930232,2.9534883,0.2,1.4976745,0.18604651,0.84651166,1.2604651,1.5906976,0.21860464,0.08837209,0.6744186,0.2837209,0.85116273,0.8976744,1.0418605,1.0232558,0.26976746,0.49302328,0.21860464,0.38139534,0.87441856,0.13953489,1.6232558,0.67906976,0.40465117,0.77674425,0.73023254,0.10697674,1.3302326,1.5395348,1.1860465,0.572093,1.4558139,0.5116279,2.4232557,1.2511628,0.5860465,0.31627908,0.85116273,0.84651166,1.1209302,0.060465112,0.6232558,1.6511627,0.28837207,0.17674418,1.7488371,1.1999999,0.34418604,1.9069767,1.1999999,1.5395348,1.172093,1.4465116,2.2,1.0139534,0.7348837,0.037209302,1.6651162,0.23255813,0.32093024,1.5302327,0.63255817,0.84651166,0.27906978,bipolar
GSM317415,2.3760834,1.4939342,0.28076258,3.7833624,0.14038129,1.7105719,0.05199307,1.2253033,0.7261699,1.6204506,0.26169845,0.6880416,1.1369151,0.055459272,1.388215,0.9705373,1.0138649,1.0970538,0.28249565,0.0779896,0.17331022,0.71923745,0.61698437,0.13171577,2.1785095,1.422877,0.74523395,0.932409,1.0554593,0.09185442,0.6551126,1.3743502,0.42634317,0.26169845,0.897747,0.42807627,3.081456,2.2062392,0.48353553,0.19930676,0.41421145,0.06065858,0.7036395,0.057192374,1.1802427,1.1819757,0.3812825,0.083188914,1.8093588,1.5337955,0.16291161,1.3292894,0.7677643,0.87001735,0.8960139,1.0294628,1.9740036,0.13691509,0.26516464,0.064124785,2.3639514,0.3587522,0.15077989,1.4003466,1.1091855,1.0051993,0.110918544,bipolar
GSM317417,2.2044535,3.0728745,0.08502024,2.291498,0.09919028,1.9493927,0.55263156,1.4190283,2.8360324,0.9089069,0.3016194,1.7753036,0.7044534,0.12348178,1.1194332,1.0242914,2.1619434,1.5323886,0.07692307,0.026315788,0.8279352,0.9068826,0.68218625,0.44129553,2.5445342,0.7408906,0.3562753,0.8663967,1.5708501,0.27935222,0.7004048,1.3279352,0.22874494,0.6295546,1.2773279,0.34008095,1.9574897,2.1032388,0.354251,0.12550607,0.3502024,0.24898785,0.83198375,0.097165994,1.7570851,2.8218622,0.02834008,0.3704453,1.3461539,2.0647774,0.2834008,0.95141697,1.3157895,3.1497977,0.8117408,0.7672065,1.5769231,0.9676113,0.08097166,0.030364372,1.4939271,0.07489879,0.38259107,1.0951416,0.6497975,0.8643725,0.08097166,bipolar
GSM317419,1.4844193,2.189802,0.29461756,2.4532578,0.3371105,1.6685553,0.033994336,1.1926346,1.6203966,2.3172805,0.22096318,1.2266289,1.121813,0.045325782,1.3201133,0.694051,1.470255,0.9858357,0.388102,0.045325782,0.42776206,0.8045326,0.5807366,0.7422097,2.03966,0.8498584,0.34844193,1.4957507,1.1019831,0.37110484,0.88951844,1.1529746,0.2634561,0.41076487,0.9575071,0.48725215,2.9093485,2,0.2776204,0.22096318,0.34560907,0.3286119,0.74787533,0.016997168,1.5949008,2.7563741,0.022662891,0.048158642,0.9348442,2.0056658,0.19546743,1.082153,1.1926346,1.858357,0.8498584,0.9121813,1.9490086,0.69121814,0.033994336,0.016997168,1.7847025,0.096317284,0.7138811,0.91501415,0.5807366,1.0566572,0.22096318,bipolar
GSM317425,3.0867927,1.4113208,0.12830189,1.637736,0.086792454,1.883019,0.026415095,1.4867926,1.2075472,1.4415095,0.018867925,0.38867927,0.8113208,0.064150944,1.1245283,0.9056604,1.7358491,1.1509434,0.39245284,0.41132075,0.39245284,0.12075472,1.1584907,0.09056604,1.909434,1.5660378,0.3735849,1.1924529,0.86415094,0.101886794,0.8566038,1.1773585,0.44150943,0.24528302,1.5132076,0.13207547,2.1471698,0.76981133,1.0226415,0.32830188,0.23396227,0.29811323,0.72075474,0.056603774,0.7622642,2.3471699,0.12830189,0.46792454,0.9056604,2.064151,0.079245284,1.3698113,0.554717,3.3132076,0.9358491,0.5924528,2.0075471,0.8943397,0.53962266,0.056603774,2.4867926,0.4301887,0.19622642,0.89056605,0.46037737,1,0.354717,bipolar
GSM317429,2.2462847,2.4479833,0.13375798,3.1613588,0.32696393,1.3439491,0.1804671,1.0764332,0.6921444,1.626327,0.38641194,0.8237792,1.1974523,0.023354568,1.3779194,0.65817416,1.6454353,1.2484077,0.23566881,0.08280256,0.34394908,0.5414013,0.40976647,0.42038217,2.1295118,1.774947,0.28237796,0.6921444,1.2208068,0.14649683,0.53927815,1.5180469,0.3842888,0.60721874,1.477707,0.37154993,1.997877,2.025478,0.35244164,0.006369427,0.2208068,0.4246285,0.66454357,0.02547771,1.549894,2.1422508,0.38641194,0.05095542,0.8811041,2.2208068,0.32908708,1.4734609,1.7983016,1.9469215,0.29936308,0.7707007,1.8386413,0.8174098,0.28874737,0.07643312,2.2611465,0.3609342,0.4161359,1.700637,0.60934186,0.92356694,0.16985139,bipolar
GSM317431,3.185567,2.1907215,0.48453605,3.1134021,0.19072165,1.2061856,0.8350516,1.2938144,0.41237113,4.0360827,0.19587629,0.45360824,0.78350514,0.05670103,1.314433,0.29381442,0.5463918,0.2216495,0.20618556,0.077319585,0.087628864,0.9536082,0.7010309,0.7525773,2.072165,1.1082474,1.1649485,0.077319585,1.1597939,0.0927835,1.1082474,0.9072165,0.23195876,0.35051546,1.1494845,0.12886597,1.5412371,1.3092784,0.8505154,0.28350514,0.48453605,0.072164945,0.9226804,0.04639175,2.1597939,1.6907216,0.7886598,0.4175258,1.6701032,1.4381443,0.6082474,1.4329896,1.6340207,2.7216494,1.1030928,1.1185567,2.3402061,1.8298969,0.2989691,0.20103092,2.329897,0.5412371,0.23195876,1.3659793,0.6185567,0.82474226,0.45360824,bipolar
GSM317433,2.0349345,0.8864629,0.12227075,2.144105,0.13537118,1.1310045,0.069869004,1.0567687,1.3493451,1.5545852,0.57641923,0.4497817,1.3056769,0.23580788,0.97379917,0.35807863,1.4410481,1.1921397,0.19650656,0.1048035,0.07860262,1.5065503,0.90393025,0.11790394,1.0349346,0.35807863,0.5633188,0.61572057,1.2751093,0.19650656,1.2663757,1.069869,0.8558953,0.15720524,1.4410481,1.069869,1.7161573,1.2358079,1.3406115,0.4410481,0.2445415,0.7248909,2,0.030567687,1.6375546,0.8515284,0.53275114,0.68122274,1.0524018,1.3406115,0.30131006,1.3231442,0.51091707,1.279476,1.4672489,2.231441,3.358079,5.0000005,0.2838428,0.061135374,1.5458517,0.16157207,0.5895197,1.3056769,0.9868996,1.1091703,0.29257643,bipolar
GSM317439,1.5503355,2.0973153,0.0704698,1.8825502,0.13087249,1.7214764,0.27516776,1.100671,1.7583892,1.4127516,0.2852349,0.9597315,0.69798654,0.077181205,1.0201342,0.32885906,1.466443,0.8590604,0.08389261,0.08724832,0.27181208,1.0067114,0.5637584,0.053691275,2.1174495,0.6140939,0.40604028,1.2248322,1.5973153,0.09731544,0.7483221,1.2281878,0.3758389,0.6308724,1.1644295,0.5872483,1.8456376,2.0503354,0.6409396,0.16442953,0.3154362,0.2818792,0.64765096,0.12416107,2.261745,1.9261745,0.23489933,0.37248322,0.80536914,1.5838926,0.32885906,0.93624157,1.8355705,2.9832215,1.2583892,1.6442952,1.7818791,0.7718121,0.590604,0.05033557,1.885906,0.10067114,0.09731544,0.8456376,1.090604,1.3154362,0.2818792,bipolar
